TEAM_ID,POWER_SCORE,AVG_WIN_PROB,MODEL_ACCURACY,ACTUAL_WINS,GAMES,PREDICTED_WINS,WINS_VS_PREDICTED,POWER_RANK,TEAM_NAME,TEAM
1610612743,0.7053963051795538,0.5740954040698804,0.6103896103896104,54,82,47.1,6.899999999999999,1,Denver Nuggets,DEN
1610612745,0.6846147959658924,0.5786290478279924,0.5714285714285714,52,82,47.4,4.600000000000001,2,Houston Rockets,HOU
1610612738,0.6524489681547789,0.6301780350495116,0.6666666666666666,56,82,51.7,4.299999999999997,3,Boston Celtics,BOS
1610612759,0.6446921362788114,0.6254858872492476,0.6883116883116883,62,82,51.3,10.700000000000003,4,San Antonio Spurs,SAS
1610612765,0.642644664568364,0.6044203012238701,0.6363636363636364,60,82,49.6,10.399999999999999,5,Detroit Pistons,DET
1610612752,0.6343734123928804,0.5824359157073713,0.7012987012987013,53,82,47.8,5.200000000000003,6,New York Knicks,NYK
1610612761,0.6074223933548377,0.5425045106291891,0.6103896103896104,46,82,44.5,1.5,7,Toronto Raptors,TOR
1610612753,0.599569280529985,0.5120317396735876,0.618421052631579,45,82,42.0,3.0,8,Orlando Magic,ORL
1610612760,0.5951882850122102,0.6527248946537849,0.7236842105263158,64,82,53.5,10.5,9,Oklahoma City Thunder,OKC
1610612747,0.5904278784436316,0.5543385634233252,0.6493506493506493,53,82,45.5,7.5,10,Los Angeles Lakers,LAL
1610612757,0.5757652606234469,0.48117595768431753,0.618421052631579,42,82,39.5,2.5,11,Portland Trail Blazers,POR
1610612739,0.5743670400567212,0.573245371179357,0.5974025974025974,52,82,47.0,5.0,12,Cleveland Cavaliers,CLE
1610612766,0.5629547802935646,0.5308473673529047,0.5844155844155844,44,82,43.5,0.5,13,Charlotte Hornets,CHA
1610612737,0.5483305912574745,0.5379774581484377,0.6842105263157895,46,82,44.1,1.8999999999999986,14,Atlanta Hawks,ATL
1610612755,0.5454312074485431,0.4914488629940929,0.5584415584415584,45,82,40.3,4.700000000000003,15,Philadelphia 76ers,PHI
1610612746,0.5425181536063215,0.4961820667465249,0.7142857142857143,42,82,40.7,1.2999999999999972,16,Los Angeles Clippers,LAC
1610612756,0.5123105813184241,0.528263244200576,0.5789473684210527,45,82,43.3,1.7000000000000028,17,Phoenix Suns,PHX
1610612748,0.5087439240822316,0.4988162077227827,0.5584415584415584,43,82,40.9,2.1000000000000014,18,Miami Heat,MIA
1610612750,0.46280369573977337,0.5444517678618289,0.5324675324675324,49,82,44.6,4.399999999999999,19,Minnesota Timberwolves,MIN
1610612742,0.4317712622314737,0.4277406754964701,0.6233766233766234,26,82,35.1,-9.100000000000001,20,Dallas Mavericks,DAL
1610612744,0.40495166401975086,0.47406038953812424,0.631578947368421,37,82,38.9,-1.8999999999999986,21,Golden State Warriors,GSW
1610612754,0.3980976174475499,0.37506258125415615,0.6753246753246753,19,82,30.8,-11.8,22,Indiana Pacers,IND
1610612749,0.3949735678021194,0.4373438071141569,0.5584415584415584,32,82,35.9,-3.8999999999999986,23,Milwaukee Bucks,MIL
1610612751,0.39459678826422695,0.376932694257046,0.7272727272727273,20,82,30.9,-10.899999999999999,24,Brooklyn Nets,BKN
1610612758,0.3857069928212843,0.3779075562618853,0.7272727272727273,22,82,31.0,-9.0,25,Sacramento Kings,SAC
1610612741,0.3528922479362393,0.4503015085301948,0.5974025974025974,31,82,36.9,-5.899999999999999,26,Chicago Bulls,CHI
1610612740,0.3211869907154681,0.4380623369428005,0.7142857142857143,26,82,35.9,-9.899999999999999,27,New Orleans Pelicans,NOP
1610612762,0.2618315469534689,0.3500169183023641,0.7142857142857143,22,82,28.7,-6.699999999999999,28,Utah Jazz,UTA
1610612764,0.232549676982911,0.3415374117872265,0.7662337662337663,17,82,28.0,-11.0,29,Washington Wizards,WAS
1610612763,0.23143829051806153,0.4265356007874059,0.7142857142857143,25,82,35.0,-10.0,30,Memphis Grizzlies,MEM
